PRODUCT,DATE,SUMMARY,SENTIMENT_SCORE
Mountain Series Helmet,2023-06-06,"Great quality Mountain Series Helmet, worth every peso.",0.67756532
Alpine Skis,2024-09-05,"Absolutely love the Alpine Skis, kept me warm the whole trip.",0.37830741
Ski Goggles,2023-11-11,"Great quality Ski Goggles, worth every peso.",0.91460672
Thermal Gloves,2023-03-29,"The Thermal Gloves broke after one week of use, very disappointed.",-0.21761241
Insulated Jacket,2023-05-12,"The Insulated Jacket stopped working properly, poor insulation.",-0.86789843
Fleece Base Layer,2023-08-05,"Not worth the price, the Fleece Base Layer feels cheaply made.",-0.44810589
Snowboard Boots,2024-02-13,"Not worth the price, the Snowboard Boots feels cheaply made.",-0.7012636
Trekking Poles,2023-05-04,"Absolutely love the Trekking Poles, kept me warm the whole trip.",0.53665989
Mountain Series Helmet,2024-08-25,"Absolutely love the Mountain Series Helmet, kept me warm the whole trip.",0.79548866
Alpine Skis,2023-08-23,"Absolutely love the Alpine Skis, kept me warm the whole trip.",0.90174478
Thermal Gloves,2024-06-10,Fast shipping and the Thermal Gloves fits perfectly.,0.44996577
Insulated Jacket,2024-08-07,"The Insulated Jacket is okay, does the job but nothing special.",0.19230971
Fleece Base Layer,2023-07-14,Fast shipping and the Fleece Base Layer fits perfectly.,0.5480083
Fleece Base Layer,2024-04-23,"The Fleece Base Layer broke after one week of use, very disappointed.",-0.46130836
Thermal Gloves,2023-03-04,"The Thermal Gloves exceeded my expectations, very durable.",0.86041476
Thermal Gloves,2023-09-12,"Best Thermal Gloves I've used on the slopes, highly recommend.",0.61402948
Fleece Base Layer,2023-07-07,"Great quality Fleece Base Layer, worth every peso.",0.91214017
Thermal Gloves,2024-03-29,"The Thermal Gloves stopped working properly, poor insulation.",-0.92167302
Alpine Skis,2023-04-06,"Terrible quality Alpine Skis, stitching came apart immediately.",-0.86695111
Trekking Poles,2024-05-07,Fast shipping and the Trekking Poles fits perfectly.,0.93171001
Insulated Jacket,2024-01-24,Fast shipping and the Insulated Jacket fits perfectly.,0.48564214
Trekking Poles,2023-10-20,"Best Trekking Poles I've used on the slopes, highly recommend.",0.76330992
Trekking Poles,2023-06-08,"Great quality Trekking Poles, worth every peso.",0.97809656
Alpine Skis,2023-11-18,"Best Alpine Skis I've used on the slopes, highly recommend.",0.63375196
Insulated Jacket,2023-02-28,"The Insulated Jacket broke after one week of use, very disappointed.",-0.31892596
Thermal Gloves,2024-09-01,"Great quality Thermal Gloves, worth every peso.",0.58264289
Mountain Series Helmet,2024-08-15,"The Mountain Series Helmet arrived as described, no complaints.",-0.1590083
Ski Goggles,2023-09-25,"The Ski Goggles exceeded my expectations, very durable.",0.46708017
Fleece Base Layer,2023-05-15,"The Fleece Base Layer doesn't fit as advertised, sizing is way off.",-0.63422034
Thermal Gloves,2023-01-10,"The Thermal Gloves arrived as described, no complaints.",0.29804822
Thermal Gloves,2024-07-04,"The Thermal Gloves exceeded my expectations, very durable.",0.3927196
Ski Goggles,2023-03-12,"The Ski Goggles doesn't fit as advertised, sizing is way off.",-0.77201009
Trekking Poles,2024-07-10,"The Trekking Poles stopped working properly, poor insulation.",-0.21291735
Alpine Skis,2024-11-14,"The Alpine Skis doesn't fit as advertised, sizing is way off.",-0.25459517
Thermal Gloves,2023-05-18,"Absolutely love the Thermal Gloves, kept me warm the whole trip.",0.81969168
Insulated Jacket,2023-10-06,"Great quality Insulated Jacket, worth every peso.",0.80232853
Mountain Series Helmet,2024-10-11,"The Mountain Series Helmet stopped working properly, poor insulation.",-0.60917452
Alpine Skis,2023-04-05,"Average Alpine Skis, works fine for casual use.",-0.17795662
Ski Goggles,2023-05-14,"Average Ski Goggles, works fine for casual use.",-0.11920901
Trekking Poles,2024-07-18,"The Trekking Poles stopped working properly, poor insulation.",-0.99226424
Thermal Gloves,2023-06-02,"Average Thermal Gloves, works fine for casual use.",0.09125478
Insulated Jacket,2024-03-16,"The Insulated Jacket exceeded my expectations, very durable.",0.55525606
Alpine Skis,2024-01-02,"Great quality Alpine Skis, worth every peso.",0.76685339
Ski Goggles,2024-07-27,Delivery for the Ski Goggles was delayed by two weeks.,-0.22093038
Insulated Jacket,2023-08-31,"Terrible quality Insulated Jacket, stitching came apart immediately.",-0.29486704
Alpine Skis,2023-07-03,"The Alpine Skis doesn't fit as advertised, sizing is way off.",-0.3740908
Fleece Base Layer,2024-11-16,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.78655543
Thermal Gloves,2024-01-27,Delivery for the Thermal Gloves was delayed by two weeks.,-0.82205303
Trekking Poles,2023-12-25,"Great quality Trekking Poles, worth every peso.",0.45604648
Mountain Series Helmet,2024-02-13,"Absolutely love the Mountain Series Helmet, kept me warm the whole trip.",0.97682237
Snowboard Boots,2023-12-26,"Average Snowboard Boots, works fine for casual use.",0.13975906
Ski Goggles,2023-01-29,"The Ski Goggles exceeded my expectations, very durable.",0.42499747
Snowboard Boots,2023-02-09,Fast shipping and the Snowboard Boots fits perfectly.,0.54198098
Ski Goggles,2024-03-22,"The Ski Goggles arrived as described, no complaints.",-0.14217711
Mountain Series Helmet,2023-09-18,Fast shipping and the Mountain Series Helmet fits perfectly.,0.30118389
Mountain Series Helmet,2024-01-08,"The Mountain Series Helmet exceeded my expectations, very durable.",0.73620879
Thermal Gloves,2023-11-04,"The Thermal Gloves arrived as described, no complaints.",0.00419645
Fleece Base Layer,2023-10-30,"The Fleece Base Layer is okay, does the job but nothing special.",0.01022317
Fleece Base Layer,2024-11-24,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.50758807
Snowboard Boots,2024-02-20,"The Snowboard Boots is okay, does the job but nothing special.",-0.04806253
Mountain Series Helmet,2024-03-16,"The Mountain Series Helmet stopped working properly, poor insulation.",-0.4762355
Trekking Poles,2024-03-28,"Great quality Trekking Poles, worth every peso.",0.6578218
Insulated Jacket,2024-11-05,"Best Insulated Jacket I've used on the slopes, highly recommend.",0.76469769
Ski Goggles,2023-04-06,"Terrible quality Ski Goggles, stitching came apart immediately.",-0.46176346
Mountain Series Helmet,2023-07-23,"Absolutely love the Mountain Series Helmet, kept me warm the whole trip.",0.47138978
Trekking Poles,2024-09-17,"The Trekking Poles broke after one week of use, very disappointed.",-0.63566707
Mountain Series Helmet,2024-01-29,"The Mountain Series Helmet is okay, does the job but nothing special.",-0.12621433
Alpine Skis,2023-04-20,"Terrible quality Alpine Skis, stitching came apart immediately.",-0.85929065
Trekking Poles,2023-02-21,"The Trekking Poles is okay, does the job but nothing special.",0.02823091
Trekking Poles,2024-11-14,"The Trekking Poles arrived as described, no complaints.",0.09772616
Trekking Poles,2024-09-19,"The Trekking Poles stopped working properly, poor insulation.",-0.65860739
Trekking Poles,2023-06-12,Delivery for the Trekking Poles was delayed by two weeks.,-0.63994419
Mountain Series Helmet,2024-10-14,"Best Mountain Series Helmet I've used on the slopes, highly recommend.",0.63921791
Mountain Series Helmet,2023-10-09,"The Mountain Series Helmet exceeded my expectations, very durable.",0.4641455
Ski Goggles,2023-11-24,"The Ski Goggles broke after one week of use, very disappointed.",-0.88930075
Mountain Series Helmet,2024-01-28,"Not worth the price, the Mountain Series Helmet feels cheaply made.",-0.8288377
Fleece Base Layer,2024-02-22,Fast shipping and the Fleece Base Layer fits perfectly.,0.59104196
Mountain Series Helmet,2024-03-06,"Best Mountain Series Helmet I've used on the slopes, highly recommend.",0.96224342
Alpine Skis,2024-08-12,"Absolutely love the Alpine Skis, kept me warm the whole trip.",0.95991916
Snowboard Boots,2024-02-04,Delivery for the Snowboard Boots was delayed by two weeks.,-0.56942355
Mountain Series Helmet,2024-05-14,Fast shipping and the Mountain Series Helmet fits perfectly.,0.6399494
Fleece Base Layer,2023-12-11,Delivery for the Fleece Base Layer was delayed by two weeks.,-0.4206549
Trekking Poles,2023-05-11,"The Trekking Poles stopped working properly, poor insulation.",-0.97842684
Fleece Base Layer,2024-08-29,"The Fleece Base Layer is okay, does the job but nothing special.",-0.15802627
Fleece Base Layer,2023-05-19,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.95977229
Fleece Base Layer,2023-12-02,"The Fleece Base Layer exceeded my expectations, very durable.",0.53625038
Fleece Base Layer,2023-10-12,Delivery for the Fleece Base Layer was delayed by two weeks.,-0.79818277
Thermal Gloves,2024-04-26,"Best Thermal Gloves I've used on the slopes, highly recommend.",0.33645993
Ski Goggles,2023-08-18,"Not worth the price, the Ski Goggles feels cheaply made.",-0.96779349
Alpine Skis,2023-09-11,"Absolutely love the Alpine Skis, kept me warm the whole trip.",0.73493496
Mountain Series Helmet,2023-05-10,"The Mountain Series Helmet is okay, does the job but nothing special.",0.08198479
Mountain Series Helmet,2024-04-21,"The Mountain Series Helmet doesn't fit as advertised, sizing is way off.",-0.86576869
Thermal Gloves,2023-06-17,"The Thermal Gloves broke after one week of use, very disappointed.",-0.53705221
Snowboard Boots,2024-08-12,Delivery for the Snowboard Boots was delayed by two weeks.,-0.68267645
Mountain Series Helmet,2023-03-19,"The Mountain Series Helmet arrived as described, no complaints.",-0.07857531
Snowboard Boots,2024-12-01,"The Snowboard Boots is okay, does the job but nothing special.",0.19811361
Alpine Skis,2023-12-22,"The Alpine Skis arrived as described, no complaints.",-0.01471456
Ski Goggles,2023-01-13,Delivery for the Ski Goggles was delayed by two weeks.,-0.9155689
Ski Goggles,2024-10-12,Delivery for the Ski Goggles was delayed by two weeks.,-0.43415309
Fleece Base Layer,2023-06-30,"Not worth the price, the Fleece Base Layer feels cheaply made.",-0.78393408
Trekking Poles,2024-04-21,"Best Trekking Poles I've used on the slopes, highly recommend.",0.48787688
Mountain Series Helmet,2023-03-30,Fast shipping and the Mountain Series Helmet fits perfectly.,0.47070441
Trekking Poles,2024-08-06,"Average Trekking Poles, works fine for casual use.",-0.03180169
Trekking Poles,2023-11-29,"Great quality Trekking Poles, worth every peso.",0.54837748
Snowboard Boots,2023-12-15,"Best Snowboard Boots I've used on the slopes, highly recommend.",0.79082863
Snowboard Boots,2024-07-23,"Great quality Snowboard Boots, worth every peso.",0.35992907
Fleece Base Layer,2024-05-15,"The Fleece Base Layer is okay, does the job but nothing special.",0.14530467
Trekking Poles,2024-04-03,"The Trekking Poles broke after one week of use, very disappointed.",-0.76461153
Fleece Base Layer,2023-09-07,"Best Fleece Base Layer I've used on the slopes, highly recommend.",0.55831432
Ski Goggles,2024-03-11,"The Ski Goggles stopped working properly, poor insulation.",-0.73536696
Trekking Poles,2023-10-05,"Great quality Trekking Poles, worth every peso.",0.38445912
Mountain Series Helmet,2023-11-20,"Best Mountain Series Helmet I've used on the slopes, highly recommend.",0.96561429
Insulated Jacket,2023-07-16,Fast shipping and the Insulated Jacket fits perfectly.,0.49354974
Snowboard Boots,2023-04-13,"The Snowboard Boots doesn't fit as advertised, sizing is way off.",-0.81801347
Insulated Jacket,2023-11-06,"Best Insulated Jacket I've used on the slopes, highly recommend.",0.38860807
Alpine Skis,2023-02-25,"The Alpine Skis arrived as described, no complaints.",0.27204481
Trekking Poles,2023-04-16,"The Trekking Poles stopped working properly, poor insulation.",-0.77252854
Trekking Poles,2024-03-27,"Absolutely love the Trekking Poles, kept me warm the whole trip.",0.47673487
Trekking Poles,2023-04-27,Delivery for the Trekking Poles was delayed by two weeks.,-0.60660275
Alpine Skis,2023-06-05,"Best Alpine Skis I've used on the slopes, highly recommend.",0.96438795
Thermal Gloves,2023-09-12,Fast shipping and the Thermal Gloves fits perfectly.,0.72442236
Mountain Series Helmet,2024-06-19,Fast shipping and the Mountain Series Helmet fits perfectly.,0.50814719
Fleece Base Layer,2023-11-09,"The Fleece Base Layer is okay, does the job but nothing special.",0.10481546
Thermal Gloves,2023-08-01,"Average Thermal Gloves, works fine for casual use.",0.13021407
Insulated Jacket,2023-09-03,"Absolutely love the Insulated Jacket, kept me warm the whole trip.",0.40957283
Fleece Base Layer,2024-04-06,Delivery for the Fleece Base Layer was delayed by two weeks.,-0.76699257
Mountain Series Helmet,2023-10-23,"Not worth the price, the Mountain Series Helmet feels cheaply made.",-0.31231461
Thermal Gloves,2023-08-28,"Not worth the price, the Thermal Gloves feels cheaply made.",-0.52816833
Mountain Series Helmet,2024-03-11,"Great quality Mountain Series Helmet, worth every peso.",0.75334431
Snowboard Boots,2023-05-26,"Great quality Snowboard Boots, worth every peso.",0.85484
Snowboard Boots,2024-03-25,"The Snowboard Boots exceeded my expectations, very durable.",0.78981358
Snowboard Boots,2024-05-27,"Average Snowboard Boots, works fine for casual use.",-0.15977907
Alpine Skis,2024-03-18,"The Alpine Skis stopped working properly, poor insulation.",-0.79970568
Thermal Gloves,2023-08-23,"The Thermal Gloves stopped working properly, poor insulation.",-0.53030165
Alpine Skis,2024-11-19,"The Alpine Skis stopped working properly, poor insulation.",-0.96781466
Insulated Jacket,2024-04-26,"Average Insulated Jacket, works fine for casual use.",0.25803639
Insulated Jacket,2024-08-22,Fast shipping and the Insulated Jacket fits perfectly.,0.97833867
Trekking Poles,2023-12-23,"The Trekking Poles exceeded my expectations, very durable.",0.76909346
Insulated Jacket,2023-12-04,Fast shipping and the Insulated Jacket fits perfectly.,0.50175246
Fleece Base Layer,2024-07-17,"Absolutely love the Fleece Base Layer, kept me warm the whole trip.",0.52016201
Ski Goggles,2023-04-29,Delivery for the Ski Goggles was delayed by two weeks.,-0.30807153
Alpine Skis,2024-11-04,Delivery for the Alpine Skis was delayed by two weeks.,-0.66940194
Mountain Series Helmet,2024-06-14,Fast shipping and the Mountain Series Helmet fits perfectly.,0.73778612
Alpine Skis,2023-07-28,"Great quality Alpine Skis, worth every peso.",0.94937093
Trekking Poles,2024-05-11,"Best Trekking Poles I've used on the slopes, highly recommend.",0.85951961
Insulated Jacket,2023-11-15,"The Insulated Jacket arrived as described, no complaints.",0.00399534
Mountain Series Helmet,2023-04-27,"The Mountain Series Helmet is okay, does the job but nothing special.",0.12385484
Insulated Jacket,2024-05-25,"The Insulated Jacket doesn't fit as advertised, sizing is way off.",-0.59290239
Snowboard Boots,2024-03-01,Delivery for the Snowboard Boots was delayed by two weeks.,-0.80501528
Insulated Jacket,2024-01-28,"Best Insulated Jacket I've used on the slopes, highly recommend.",0.65576862
Insulated Jacket,2023-03-13,Fast shipping and the Insulated Jacket fits perfectly.,0.53791267
Snowboard Boots,2023-01-03,"The Snowboard Boots exceeded my expectations, very durable.",0.88623315
Trekking Poles,2023-06-02,Fast shipping and the Trekking Poles fits perfectly.,0.54158676
Fleece Base Layer,2024-04-11,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.21538029
Mountain Series Helmet,2024-08-08,Fast shipping and the Mountain Series Helmet fits perfectly.,0.33055311
Trekking Poles,2024-01-26,"Great quality Trekking Poles, worth every peso.",0.64673005
Alpine Skis,2023-05-10,"The Alpine Skis arrived as described, no complaints.",-0.03400265
Thermal Gloves,2024-03-26,Fast shipping and the Thermal Gloves fits perfectly.,0.31074332
Insulated Jacket,2024-02-24,"Terrible quality Insulated Jacket, stitching came apart immediately.",-0.9401374
Snowboard Boots,2023-12-13,"Average Snowboard Boots, works fine for casual use.",0.12491833
Ski Goggles,2024-11-21,Delivery for the Ski Goggles was delayed by two weeks.,-0.23668833
Trekking Poles,2024-07-08,"Absolutely love the Trekking Poles, kept me warm the whole trip.",0.46433917
Snowboard Boots,2023-08-21,Delivery for the Snowboard Boots was delayed by two weeks.,-0.21732982
Thermal Gloves,2024-03-30,"The Thermal Gloves exceeded my expectations, very durable.",0.93239684
Alpine Skis,2023-11-29,"The Alpine Skis doesn't fit as advertised, sizing is way off.",-0.71322933
Fleece Base Layer,2023-05-30,Fast shipping and the Fleece Base Layer fits perfectly.,0.69614964
Insulated Jacket,2023-06-24,"Best Insulated Jacket I've used on the slopes, highly recommend.",0.90958772
Mountain Series Helmet,2024-05-24,"Terrible quality Mountain Series Helmet, stitching came apart immediately.",-0.81424924
Snowboard Boots,2024-04-15,"Absolutely love the Snowboard Boots, kept me warm the whole trip.",0.92923597
Trekking Poles,2023-10-22,"Terrible quality Trekking Poles, stitching came apart immediately.",-0.94091048
Ski Goggles,2024-08-24,Fast shipping and the Ski Goggles fits perfectly.,0.78321946
Trekking Poles,2023-11-06,Fast shipping and the Trekking Poles fits perfectly.,0.89733482
Thermal Gloves,2023-08-31,"The Thermal Gloves exceeded my expectations, very durable.",0.70236835
Snowboard Boots,2023-01-23,"Not worth the price, the Snowboard Boots feels cheaply made.",-0.68335541
Alpine Skis,2024-08-02,"Not worth the price, the Alpine Skis feels cheaply made.",-0.22111775
Trekking Poles,2023-10-21,"Terrible quality Trekking Poles, stitching came apart immediately.",-0.514348
Ski Goggles,2023-08-13,"The Ski Goggles arrived as described, no complaints.",-0.0746866
Insulated Jacket,2024-10-05,"Absolutely love the Insulated Jacket, kept me warm the whole trip.",0.51625302
Trekking Poles,2023-02-04,"The Trekking Poles arrived as described, no complaints.",-0.1342941
Snowboard Boots,2023-12-01,"Terrible quality Snowboard Boots, stitching came apart immediately.",-0.83936416
Ski Goggles,2024-06-27,"Average Ski Goggles, works fine for casual use.",0.21523631
Snowboard Boots,2024-05-08,"The Snowboard Boots doesn't fit as advertised, sizing is way off.",-0.40275252
Ski Goggles,2023-04-28,"The Ski Goggles is okay, does the job but nothing special.",-0.12962149
Mountain Series Helmet,2024-11-23,Delivery for the Mountain Series Helmet was delayed by two weeks.,-0.2261842
Ski Goggles,2023-04-03,"The Ski Goggles broke after one week of use, very disappointed.",-0.78843314
Thermal Gloves,2024-04-10,"The Thermal Gloves exceeded my expectations, very durable.",0.70919206
Ski Goggles,2023-04-21,Delivery for the Ski Goggles was delayed by two weeks.,-0.97998028
Ski Goggles,2024-09-16,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.74478275
Trekking Poles,2023-11-06,"The Trekking Poles is okay, does the job but nothing special.",-0.13011149
Alpine Skis,2023-11-08,"The Alpine Skis broke after one week of use, very disappointed.",-0.9222464
Insulated Jacket,2024-02-02,"The Insulated Jacket arrived as described, no complaints.",0.27469038
Fleece Base Layer,2024-08-24,"Terrible quality Fleece Base Layer, stitching came apart immediately.",-0.29166897
Thermal Gloves,2024-05-16,"Average Thermal Gloves, works fine for casual use.",-0.18364186
Ski Goggles,2023-08-11,"Great quality Ski Goggles, worth every peso.",0.89881514
Thermal Gloves,2024-01-12,"The Thermal Gloves arrived as described, no complaints.",-0.02066308
Fleece Base Layer,2023-10-10,"Absolutely love the Fleece Base Layer, kept me warm the whole trip.",0.96430755
Trekking Poles,2023-04-04,"Not worth the price, the Trekking Poles feels cheaply made.",-0.48840567
Alpine Skis,2023-02-21,"Terrible quality Alpine Skis, stitching came apart immediately.",-0.20894328
Mountain Series Helmet,2023-03-12,"The Mountain Series Helmet stopped working properly, poor insulation.",-0.8342741
Mountain Series Helmet,2023-08-27,"Great quality Mountain Series Helmet, worth every peso.",0.85205063
Alpine Skis,2023-10-11,"Terrible quality Alpine Skis, stitching came apart immediately.",-0.20997816
Snowboard Boots,2023-06-28,"Absolutely love the Snowboard Boots, kept me warm the whole trip.",0.39226226
Ski Goggles,2023-09-01,"The Ski Goggles is okay, does the job but nothing special.",-0.1128769
Alpine Skis,2023-05-10,"The Alpine Skis stopped working properly, poor insulation.",-0.90908055
Thermal Gloves,2024-05-02,"The Thermal Gloves exceeded my expectations, very durable.",0.65926657
Thermal Gloves,2024-04-07,"The Thermal Gloves arrived as described, no complaints.",-0.17831748
Snowboard Boots,2024-04-14,"The Snowboard Boots is okay, does the job but nothing special.",-0.1695873
Trekking Poles,2024-02-16,"Absolutely love the Trekking Poles, kept me warm the whole trip.",0.6431882
Trekking Poles,2023-03-17,"The Trekking Poles doesn't fit as advertised, sizing is way off.",-0.51336206
Thermal Gloves,2023-05-10,"Best Thermal Gloves I've used on the slopes, highly recommend.",0.6838495
Ski Goggles,2024-01-26,"The Ski Goggles stopped working properly, poor insulation.",-0.7640818
Fleece Base Layer,2023-04-12,"The Fleece Base Layer broke after one week of use, very disappointed.",-0.31776581
Mountain Series Helmet,2024-03-16,"The Mountain Series Helmet is okay, does the job but nothing special.",0.00690679
Trekking Poles,2024-02-13,"Absolutely love the Trekking Poles, kept me warm the whole trip.",0.51878384
Ski Goggles,2024-11-12,"Great quality Ski Goggles, worth every peso.",0.78077472
Trekking Poles,2023-03-10,"Absolutely love the Trekking Poles, kept me warm the whole trip.",0.36526107
Thermal Gloves,2024-01-17,"The Thermal Gloves stopped working properly, poor insulation.",-0.95201522
Ski Goggles,2024-11-17,"The Ski Goggles exceeded my expectations, very durable.",0.91152516
Fleece Base Layer,2023-02-22,"The Fleece Base Layer stopped working properly, poor insulation.",-0.75004088
Thermal Gloves,2024-08-14,"The Thermal Gloves is okay, does the job but nothing special.",0.12836815
Mountain Series Helmet,2023-04-21,"Best Mountain Series Helmet I've used on the slopes, highly recommend.",0.55729274
Snowboard Boots,2024-08-10,Fast shipping and the Snowboard Boots fits perfectly.,0.89160861
Alpine Skis,2024-09-15,"Not worth the price, the Alpine Skis feels cheaply made.",-0.78604182
Insulated Jacket,2023-10-07,"The Insulated Jacket doesn't fit as advertised, sizing is way off.",-0.26276998
Ski Goggles,2023-01-07,"Great quality Ski Goggles, worth every peso.",0.69642477
Fleece Base Layer,2023-03-13,"Absolutely love the Fleece Base Layer, kept me warm the whole trip.",0.36423038
Mountain Series Helmet,2024-01-21,"The Mountain Series Helmet exceeded my expectations, very durable.",0.41018649
Snowboard Boots,2023-11-29,"The Snowboard Boots stopped working properly, poor insulation.",-0.52302098
Alpine Skis,2023-06-09,"Best Alpine Skis I've used on the slopes, highly recommend.",0.33483374
Thermal Gloves,2023-10-06,Fast shipping and the Thermal Gloves fits perfectly.,0.63996319
Trekking Poles,2024-02-29,"Best Trekking Poles I've used on the slopes, highly recommend.",0.37967226
Fleece Base Layer,2023-04-24,"Best Fleece Base Layer I've used on the slopes, highly recommend.",0.64064293
Snowboard Boots,2023-02-16,"Best Snowboard Boots I've used on the slopes, highly recommend.",0.33834737
Mountain Series Helmet,2023-11-05,"Terrible quality Mountain Series Helmet, stitching came apart immediately.",-0.38867128
Snowboard Boots,2023-12-02,Fast shipping and the Snowboard Boots fits perfectly.,0.82290989
Insulated Jacket,2023-05-13,"Great quality Insulated Jacket, worth every peso.",0.65018364
Ski Goggles,2023-03-15,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.60535372
Trekking Poles,2023-03-21,"The Trekking Poles stopped working properly, poor insulation.",-0.65657257
Fleece Base Layer,2024-10-17,"Absolutely love the Fleece Base Layer, kept me warm the whole trip.",0.58352261
Ski Goggles,2023-06-25,"The Ski Goggles stopped working properly, poor insulation.",-0.63192248
Ski Goggles,2023-04-01,"Absolutely love the Ski Goggles, kept me warm the whole trip.",0.47032153
Fleece Base Layer,2024-06-20,"The Fleece Base Layer exceeded my expectations, very durable.",0.82206338
Mountain Series Helmet,2023-12-08,"The Mountain Series Helmet broke after one week of use, very disappointed.",-0.59161337
Thermal Gloves,2024-06-27,"Average Thermal Gloves, works fine for casual use.",-0.02445013
Insulated Jacket,2023-08-30,"The Insulated Jacket exceeded my expectations, very durable.",0.43809026
Insulated Jacket,2024-11-02,Fast shipping and the Insulated Jacket fits perfectly.,0.62476715
Trekking Poles,2024-11-28,"The Trekking Poles stopped working properly, poor insulation.",-0.48560654
Ski Goggles,2024-10-04,Fast shipping and the Ski Goggles fits perfectly.,0.34780038
Trekking Poles,2024-10-08,"The Trekking Poles exceeded my expectations, very durable.",0.71399383
Ski Goggles,2024-06-03,Fast shipping and the Ski Goggles fits perfectly.,0.6163397
Alpine Skis,2024-01-13,"The Alpine Skis broke after one week of use, very disappointed.",-0.48426682
Thermal Gloves,2024-09-21,"Average Thermal Gloves, works fine for casual use.",0.03135583
Alpine Skis,2024-04-05,"The Alpine Skis stopped working properly, poor insulation.",-0.47853004
Ski Goggles,2024-09-11,"The Ski Goggles is okay, does the job but nothing special.",0.27886118
Trekking Poles,2023-04-16,"The Trekking Poles doesn't fit as advertised, sizing is way off.",-0.21409154
Thermal Gloves,2024-05-31,"The Thermal Gloves is okay, does the job but nothing special.",-0.07612814
Trekking Poles,2024-03-25,"The Trekking Poles arrived as described, no complaints.",-0.1206269
Ski Goggles,2023-10-17,"The Ski Goggles exceeded my expectations, very durable.",0.7752284
Alpine Skis,2024-10-08,"The Alpine Skis is okay, does the job but nothing special.",-0.03515462
Fleece Base Layer,2023-10-18,"Best Fleece Base Layer I've used on the slopes, highly recommend.",0.91129576
Ski Goggles,2023-03-25,"The Ski Goggles is okay, does the job but nothing special.",0.25837323
Snowboard Boots,2024-11-02,Delivery for the Snowboard Boots was delayed by two weeks.,-0.89683867
Thermal Gloves,2023-11-14,"The Thermal Gloves arrived as described, no complaints.",0.19583098
Insulated Jacket,2024-11-17,"Not worth the price, the Insulated Jacket feels cheaply made.",-0.20226871
Thermal Gloves,2024-10-23,"The Thermal Gloves stopped working properly, poor insulation.",-0.71053752
Ski Goggles,2023-11-13,"Great quality Ski Goggles, worth every peso.",0.53921264
Trekking Poles,2023-07-16,"Great quality Trekking Poles, worth every peso.",0.40846162
Snowboard Boots,2023-04-14,"The Snowboard Boots arrived as described, no complaints.",0.21755991
